customer_id,long,lat,demand,tw_start,tw_end,carrier_id,value,service_duration,reservation
0,33,35,1,16,80,0,0,90,False
1,28,52,1,812,883,0,0,90,False
2,23,52,1,261,316,0,0,90,False
3,28,35,1,1001,1066,0,0,90,False
4,40,5,1,385,436,0,0,90,False
5,55,85,1,647,726,0,0,90,False
6,28,55,1,732,777,0,0,90,False
7,65,82,1,285,336,0,0,90,False
8,10,40,1,31,100,0,0,90,False
9,50,35,1,262,317,0,0,90,False
10,25,35,1,912,969,0,0,90,False
11,53,30,1,450,505,0,0,90,False
12,45,35,1,916,969,0,0,90,False
13,35,66,1,357,410,0,0,90,False
14,48,40,1,76,129,0,0,90,False
15,35,5,1,562,629,0,0,90,False
16,40,15,1,35,87,0,0,90,False
17,60,60,1,836,889,0,0,90,False
18,58,75,1,30,84,0,0,90,False
19,85,25,1,769,820,0,0,90,False
20,2,40,1,383,434,0,0,90,False
21,10,35,1,200,237,0,0,90,False
22,38,5,1,471,534,0,0,90,False
23,22,75,1,30,92,0,0,90,False
24,32,30,1,359,412,0,0,90,False
25,28,30,1,632,693,1,0,90,False
26,50,30,1,531,610,1,0,90,False
27,85,35,1,47,124,1,0,90,False
28,70,58,1,458,523,1,0,90,False
29,20,80,1,384,429,1,0,90,False
30,66,55,1,173,238,1,0,90,False
31,60,80,1,95,156,1,0,90,False
32,25,50,1,65,144,1,0,90,False
33,47,40,1,12,77,1,0,90,False
34,48,30,1,632,693,1,0,90,False
35,0,40,1,479,522,1,0,90,False
36,20,85,1,475,528,1,0,90,False
37,30,35,1,1054,1127,1,0,90,False
38,30,50,1,10,73,1,0,90,False
39,90,35,1,203,260,1,0,90,False
40,75,55,1,369,420,1,0,90,False
41,67,85,1,368,441,1,0,90,False
42,22,85,1,567,620,1,0,90,False
43,5,35,1,283,344,1,0,90,False
44,15,80,1,278,345,1,0,90,False
45,25,55,1,622,701,1,0,90,False
46,18,75,1,99,148,1,0,90,False
47,44,5,1,286,347,1,0,90,False
48,87,30,1,668,731,1,0,90,False
49,20,55,1,449,504,1,0,90,False
50,20,50,1,358,405,2,0,90,False
51,42,68,1,727,782,2,0,90,False
52,38,68,1,255,324,2,0,90,False
53,35,69,1,448,505,2,0,90,False
54,40,69,1,621,702,2,0,90,False
55,30,32,1,448,509,2,0,90,False
56,40,66,1,170,225,2,0,90,False
57,30,52,1,914,965,2,0,90,False
58,42,66,1,65,146,2,0,90,False
59,42,15,1,95,158,2,0,90,False
60,65,55,1,85,144,2,0,90,False
61,45,30,1,734,777,2,0,90,False
62,63,58,1,737,802,2,0,90,False
63,92,30,1,478,551,2,0,90,False
64,38,70,1,534,605,2,0,90,False
65,0,45,1,567,624,2,0,90,False
66,25,30,1,725,786,2,0,90,False
67,55,80,1,743,820,2,0,90,False
68,23,55,1,546,593,2,0,90,False
69,65,85,1,475,518,2,0,90,False
70,95,35,1,293,360,2,0,90,False
71,65,60,1,645,708,2,0,90,False
72,45,65,1,997,1068,2,0,90,False
73,62,80,1,196,239,2,0,90,False
74,35,32,1,166,235,2,0,90,False
75,72,55,1,265,338,3,0,90,False
76,5,45,1,665,716,3,0,90,False
77,95,30,1,387,456,3,0,90,False
78,8,40,1,87,158,3,0,90,False
79,25,52,1,169,224,3,0,90,False
80,50,40,1,171,218,3,0,90,False
81,15,75,1,179,254,3,0,90,False
82,38,15,1,651,740,3,0,90,False
83,26,32,1,815,880,3,0,90,False
84,42,65,1,15,67,3,0,90,False
85,45,70,1,825,870,3,0,90,False
86,33,32,1,68,149,3,0,90,False
87,42,10,1,186,257,3,0,90,False
88,8,45,1,751,816,3,0,90,False
89,30,30,1,541,600,3,0,90,False
90,45,68,1,912,967,3,0,90,False
91,88,35,1,109,170,3,0,90,False
92,47,35,1,826,875,3,0,90,False
93,53,35,1,353,412,3,0,90,False
94,68,60,1,555,612,3,0,90,False
95,60,85,1,561,622,3,0,90,False
96,35,30,1,264,321,3,0,90,False
97,25,85,1,652,721,3,0,90,False
98,60,55,1,20,84,3,0,90,False
99,88,30,1,574,643,3,0,90,False
