depot_id,long,lat,carrier_id
0,-0.01940783,51.41910205,0
1,-0.042134232,51.48677935,1
2,-0.128147963,51.50112637,2
3,-0.161184628,51.56950512,3
4,-0.150044888,51.45003764,4
5,-0.152832918,51.43666194,5
6,0.01491072,51.46981229,6
7,-0.19169562,51.55288528,7
8,-0.149786145,51.42254582,8
9,-0.125159419,51.55622474,9
10,-0.235156641,51.53113115,10
11,-0.03271685,51.5195281,11
12,0.034173821,51.42743459,12
13,-0.191479826,51.48378611,13
14,-0.112145153,51.48427524,14
15,-0.229540869,51.51475496,15
16,-0.201479361,51.49830022,16
17,-0.01884042,51.53321066,17
18,-0.02559,51.52364241,18
19,-0.017330159,51.49622265,19
20,-0.11443332,51.53411666,20
21,-0.229993647,51.51210723,21
22,-0.182858496,51.50807778,22
23,-0.178765081,51.48079197,23
24,-0.020706013,51.43886041,24
25,-0.057911482,51.44608934,25
26,-0.241632458,51.531398,26
27,-0.069429811,51.46003458,27
28,-0.240082432,51.45067947,28
29,-0.024206258,51.45892267,29
