customer_id,long,lat,demand,tw_start,tw_end,carrier_id,value,service_duration,reservation
0,24,12,1,31,41,0,0,10,False
1,16,22,1,91,101,0,0,10,False
2,22,27,1,135,145,0,0,10,False
3,35,17,1,50,60,0,0,10,False
4,53,52,1,37,47,0,0,10,False
5,10,43,1,95,105,0,0,10,False
6,30,25,1,159,169,0,0,10,False
7,65,55,1,117,127,0,0,10,False
8,41,49,1,161,171,0,0,10,False
9,25,24,1,39,49,0,0,10,False
10,63,23,1,136,146,1,0,10,False
11,60,12,1,44,54,1,0,10,False
12,57,48,1,92,102,1,0,10,False
13,11,31,1,101,111,1,0,10,False
14,12,24,1,76,86,1,0,10,False
15,15,77,1,73,83,1,0,10,False
16,15,60,1,76,86,1,0,10,False
17,21,24,1,18,28,1,0,10,False
18,18,24,1,188,198,1,0,10,False
19,40,25,1,85,95,1,0,10,False
20,45,10,1,97,107,2,0,10,False
21,27,43,1,52,62,2,0,10,False
22,15,19,1,160,170,2,0,10,False
23,20,26,1,83,93,2,0,10,False
24,31,67,1,95,105,2,0,10,False
25,17,34,1,162,172,2,0,10,False
26,30,60,1,124,134,2,0,10,False
27,55,5,1,68,78,2,0,10,False
28,46,13,1,149,159,2,0,10,False
29,26,35,1,176,186,2,0,10,False
30,41,37,1,39,49,3,0,10,False
31,45,20,1,62,72,3,0,10,False
32,42,7,1,97,107,3,0,10,False
33,35,40,1,37,47,3,0,10,False
34,5,5,1,83,93,3,0,10,False
35,30,5,1,61,71,3,0,10,False
36,15,47,1,55,65,3,0,10,False
37,35,69,1,141,151,3,0,10,False
38,18,18,1,185,195,3,0,10,False
39,62,77,1,51,61,3,0,10,False
