customer_id,long,lat,demand,tw_start,tw_end,carrier_id,value,service_duration,reservation
0,5,30,1,157,167,0,0,10,False
1,41,49,1,161,171,0,0,10,False
2,65,35,1,153,163,0,0,10,False
3,14,37,1,44,54,0,0,10,False
4,26,52,1,74,84,0,0,10,False
5,35,69,1,141,151,0,0,10,False
6,61,52,1,96,106,0,0,10,False
7,40,60,1,71,81,0,0,10,False
8,2,60,1,41,51,0,0,10,False
9,46,13,1,149,159,0,0,10,False
10,4,18,1,94,104,0,0,10,False
11,6,38,1,32,42,0,0,10,False
12,21,24,1,18,28,0,0,10,False
13,45,30,1,132,142,0,0,10,False
14,11,31,1,101,111,0,0,10,False
15,53,52,1,37,47,1,0,10,False
16,49,58,1,88,98,1,0,10,False
17,64,42,1,63,73,1,0,10,False
18,44,17,1,78,88,1,0,10,False
19,49,42,1,73,83,1,0,10,False
20,55,5,1,68,78,1,0,10,False
21,35,17,1,50,60,1,0,10,False
22,17,34,1,162,172,1,0,10,False
23,49,73,1,127,137,1,0,10,False
24,37,56,1,182,192,1,0,10,False
25,25,24,1,39,49,1,0,10,False
26,50,35,1,63,73,1,0,10,False
27,2,48,1,117,127,1,0,10,False
28,63,65,1,143,153,1,0,10,False
29,45,20,1,62,72,1,0,10,False
30,15,19,1,160,170,2,0,10,False
31,15,10,1,32,42,2,0,10,False
32,27,69,1,34,44,2,0,10,False
33,28,18,1,93,103,2,0,10,False
34,56,37,1,182,192,2,0,10,False
35,27,43,1,52,62,2,0,10,False
36,56,39,1,142,152,2,0,10,False
37,63,23,1,136,146,2,0,10,False
38,55,45,1,116,126,2,0,10,False
39,5,5,1,83,93,2,0,10,False
40,41,37,1,39,49,2,0,10,False
41,8,56,1,51,61,2,0,10,False
42,16,22,1,91,101,2,0,10,False
43,45,10,1,97,107,2,0,10,False
44,23,3,1,132,142,2,0,10,False
45,47,47,1,124,134,3,0,10,False
46,18,18,1,185,195,3,0,10,False
47,37,31,1,95,105,3,0,10,False
48,12,24,1,76,86,3,0,10,False
49,30,25,1,159,169,3,0,10,False
50,26,27,1,100,110,3,0,10,False
51,25,21,1,133,143,3,0,10,False
52,24,58,1,58,68,3,0,10,False
53,60,12,1,44,54,3,0,10,False
54,47,16,1,35,45,3,0,10,False
55,65,20,1,172,182,3,0,10,False
56,67,5,1,83,93,3,0,10,False
57,13,52,1,165,175,3,0,10,False
58,45,65,1,126,136,3,0,10,False
59,37,47,1,50,60,3,0,10,False
