depot_id,long,lat,carrier_id
0,-0.249404157,51.5025926,0
1,-0.122881506,51.45970056,1
2,-0.121277845,51.4899977,2
3,-0.175911136,51.56114463,3
4,-0.176097102,51.56950685,4
5,-0.150017289,51.50160933,5
6,-0.061429645,51.49296235,6
7,-0.152832918,51.43666194,7
8,-0.095513496,51.56525362,8
9,-0.123237278,51.50471643,9
10,-0.191479826,51.48378611,10
11,-0.167860321,51.54825086,11
12,-0.210666263,51.51909628,12
13,-0.098383452,51.49628422,13
14,-0.144093275,51.55591766,14
15,-0.16311983,51.46579715,15
16,-0.203706306,51.50844879,16
17,-0.142403565,51.45743632,17
18,-0.209340475,51.52136997,18
19,-0.182738314,51.56564156,19
20,-0.07378787,51.51974716,20
21,-0.02822391,51.54481932,21
22,-0.090262377,51.52164951,22
23,-0.069429811,51.46003458,23
24,-0.01940783,51.41910205,24
25,-0.178765081,51.48079197,25
26,-0.076790416,51.45939688,26
27,-0.113509281,51.47246834,27
28,-0.191728477,51.46822746,28
29,-0.128147963,51.50112637,29
30,-0.192814558,51.4627172,30
31,-0.02559,51.52364241,31
32,-0.196752638,51.4575039,32
33,0.01491072,51.46981229,33
34,-0.058319166,51.57078232,34
35,-0.163573004,51.47332203,35
36,-0.168987469,51.55980288,36
37,-0.047200311,51.43165924,37
38,-0.125159419,51.55622474,38
39,-0.131409868,51.56504531,39
