customer_id,long,lat,demand,tw_start,tw_end,value,carrier_id,reservation,service_duration
0,-0.115222685,51.53269313,1,0,1000,0,0,False,0
1,-0.215174812,51.44646924,1,0,1000,0,0,False,0
2,0.018087315,51.45246889,1,0,1000,0,0,False,0
3,0.004149492,51.44206417,1,0,1000,0,0,False,0
4,-0.102456654,51.53330933,1,0,1000,0,0,False,0
5,-0.208302862,51.51612746,1,0,1000,0,0,False,0
6,-0.197401626,51.55092434,1,0,1000,0,0,False,0
7,-0.10468232,51.49566142,1,0,1000,0,0,False,0
8,-0.218212518,51.47659685,1,0,1000,0,0,False,0
9,-0.179833641,51.52721674,1,0,1000,0,0,False,0
10,-0.156725569,51.43897278,1,0,1000,0,0,False,0
11,-0.211104283,51.5275954,1,0,1000,0,0,False,0
12,-0.090059136,51.5637633,1,0,1000,0,0,False,0
13,-0.075779901,51.46688241,1,0,1000,0,0,False,0
14,-0.065928151,51.51876177,1,0,1000,0,0,False,0
15,-0.193069389,51.44603668,1,0,1000,0,0,False,0
16,-0.096291696,51.56801678,1,0,1000,0,0,False,0
17,-0.101009624,51.4752332,1,0,1000,0,0,False,0
18,-0.008776075,51.5009422,1,0,1000,0,0,False,0
19,-0.202728345,51.48423041,1,0,1000,0,0,False,0
20,-0.132646393,51.41500882,1,0,1000,0,1,False,0
21,-0.023221479,51.51190965,1,0,1000,0,1,False,0
22,-0.176359974,51.52885475,1,0,1000,0,1,False,0
23,-0.09423177,51.43534308,1,0,1000,0,1,False,0
24,-0.200935795,51.51250291,1,0,1000,0,1,False,0
25,-0.079798897,51.50025075,1,0,1000,0,1,False,0
26,-0.239573524,51.46482938,1,0,1000,0,1,False,0
27,-0.180368568,51.43415564,1,0,1000,0,1,False,0
28,-0.02215661,51.48735237,1,0,1000,0,1,False,0
29,-0.185178922,51.51662549,1,0,1000,0,1,False,0
30,-0.151717433,51.4528467,1,0,1000,0,1,False,0
31,-0.164712388,51.42646048,1,0,1000,0,1,False,0
32,-0.085098807,51.47306499,1,0,1000,0,1,False,0
33,-0.147412405,51.42949958,1,0,1000,0,1,False,0
34,-0.135281258,51.48663217,1,0,1000,0,1,False,0
35,-0.116278136,51.52365472,1,0,1000,0,1,False,0
36,-0.198279662,51.51844197,1,0,1000,0,1,False,0
37,-0.050127186,51.43529228,1,0,1000,0,1,False,0
38,-0.034618706,51.48806185,1,0,1000,0,1,False,0
39,-0.22479032,51.49801079,1,0,1000,0,1,False,0
40,0.024654164,51.44131441,1,0,1000,0,2,False,0
41,-0.213248463,51.48668769,1,0,1000,0,2,False,0
42,-0.07781426,51.54960315,1,0,1000,0,2,False,0
43,-0.120472313,51.48235817,1,0,1000,0,2,False,0
44,-0.163772629,51.4907863,1,0,1000,0,2,False,0
45,-0.210815851,51.4765816,1,0,1000,0,2,False,0
46,-0.179698839,51.53189509,1,0,1000,0,2,False,0
47,-0.165818354,51.43970351,1,0,1000,0,2,False,0
48,-0.170076481,51.49130761,1,0,1000,0,2,False,0
49,-0.123970055,51.54859511,1,0,1000,0,2,False,0
50,-0.11354064,51.53082926,1,0,1000,0,2,False,0
51,-0.133830058,51.49724344,1,0,1000,0,2,False,0
52,-0.105601162,51.49952939,1,0,1000,0,2,False,0
53,-0.07629425,51.42694389,1,0,1000,0,2,False,0
54,-0.103225585,51.54141221,1,0,1000,0,2,False,0
55,-0.199370048,51.48054507,1,0,1000,0,2,False,0
56,-0.044741352,51.54201127,1,0,1000,0,2,False,0
57,-0.130970581,51.55725182,1,0,1000,0,2,False,0
