vehicle_id,depot_id,capacity,route_limit,carrier_id
0,0,20,2000,0
1,0,20,2000,0
2,0,20,2000,0
3,0,20,2000,0
4,0,20,2000,0
5,1,20,2000,1
6,1,20,2000,1
7,1,20,2000,1
8,1,20,2000,1
9,1,20,2000,1
10,2,20,2000,2
11,2,20,2000,2
12,2,20,2000,2
13,2,20,2000,2
14,2,20,2000,2
15,3,20,2000,3
16,3,20,2000,3
17,3,20,2000,3
18,3,20,2000,3
19,3,20,2000,3
20,4,20,2000,4
21,4,20,2000,4
22,4,20,2000,4
23,4,20,2000,4
24,4,20,2000,4
25,5,20,2000,5
26,5,20,2000,5
27,5,20,2000,5
28,5,20,2000,5
29,5,20,2000,5
30,6,20,2000,6
31,6,20,2000,6
32,6,20,2000,6
33,6,20,2000,6
34,6,20,2000,6
35,7,20,2000,7
36,7,20,2000,7
37,7,20,2000,7
38,7,20,2000,7
39,7,20,2000,7
40,8,20,2000,8
41,8,20,2000,8
42,8,20,2000,8
43,8,20,2000,8
44,8,20,2000,8
45,9,20,2000,9
46,9,20,2000,9
47,9,20,2000,9
48,9,20,2000,9
49,9,20,2000,9
50,10,20,2000,10
51,10,20,2000,10
52,10,20,2000,10
53,10,20,2000,10
54,10,20,2000,10
55,11,20,2000,11
56,11,20,2000,11
57,11,20,2000,11
58,11,20,2000,11
59,11,20,2000,11
60,12,20,2000,12
61,12,20,2000,12
62,12,20,2000,12
63,12,20,2000,12
64,12,20,2000,12
65,13,20,2000,13
66,13,20,2000,13
67,13,20,2000,13
68,13,20,2000,13
69,13,20,2000,13
70,14,20,2000,14
71,14,20,2000,14
72,14,20,2000,14
73,14,20,2000,14
74,14,20,2000,14
75,15,20,2000,15
76,15,20,2000,15
77,15,20,2000,15
78,15,20,2000,15
79,15,20,2000,15
80,16,20,2000,16
81,16,20,2000,16
82,16,20,2000,16
83,16,20,2000,16
84,16,20,2000,16
85,17,20,2000,17
86,17,20,2000,17
87,17,20,2000,17
88,17,20,2000,17
89,17,20,2000,17
90,18,20,2000,18
91,18,20,2000,18
92,18,20,2000,18
93,18,20,2000,18
94,18,20,2000,18
95,19,20,2000,19
96,19,20,2000,19
97,19,20,2000,19
98,19,20,2000,19
99,19,20,2000,19
