depot_id,long,lat,carrier_id
0,-0.196752638,51.4575039,0
1,-0.213646347,51.47731341,1
2,-0.148222638,51.46459321,2
3,-0.116043494,51.55349604,3
4,-0.144093275,51.55591766,4
5,-0.191728477,51.46822746,5
6,-0.150044888,51.45003764,6
7,-0.176097102,51.56950685,7
8,-0.116047602,51.46067978,8
9,-0.210666263,51.51909628,9
10,-0.175299379,51.53053535,10
11,-0.125159419,51.55622474,11
12,-0.229540869,51.51475496,12
13,-0.108305643,51.49109935,13
14,-0.02559,51.52364241,14
15,-0.069429811,51.46003458,15
16,-0.058319166,51.57078232,16
17,-0.05610829,51.51838512,17
18,-0.182858496,51.50807778,18
19,-0.029582949,51.53208512,19
20,-0.168908417,51.4614972,20
21,-0.11443332,51.53411666,21
22,-0.112145153,51.48427524,22
23,-0.01884042,51.53321066,23
24,-0.152832918,51.43666194,24
25,-0.241632458,51.531398,25
26,-0.144511195,51.47773858,26
27,-0.177411319,51.509694,27
28,-0.084694448,51.52941705,28
29,-0.167860321,51.54825086,29
30,-0.136872489,51.50023459,30
31,-0.128147963,51.50112637,31
32,-0.094525168,51.46552046,32
33,-0.098383452,51.49628422,33
34,-0.114399167,51.52795882,34
35,-0.089760556,51.45648358,35
36,-0.084979521,51.50378867,36
37,-0.131409868,51.56504531,37
38,-0.057911482,51.44608934,38
39,-0.220690471,51.47633463,39
40,-0.161184628,51.56950512,40
41,-0.165517472,51.50525714,41
42,0.034173821,51.42743459,42
43,-0.16311983,51.46579715,43
44,-0.15629665,51.5314653,44
45,0.000203852,51.50713002,45
46,-0.163573004,51.47332203,46
47,-0.020706013,51.43886041,47
48,-0.090262377,51.52164951,48
49,-0.076790416,51.45939688,49
