customer_id,long,lat,demand,tw_start,tw_end,carrier_id,value,service_duration,reservation
0,49,73,1,127,137,0,0,10,False
1,18,24,1,188,198,0,0,10,False
2,55,54,1,94,104,0,0,10,False
3,45,10,1,97,107,0,0,10,False
4,32,12,1,101,111,0,0,10,False
5,45,30,1,132,142,0,0,10,False
6,20,65,1,67,77,0,0,10,False
7,56,39,1,142,152,1,0,10,False
8,65,55,1,117,127,1,0,10,False
9,20,26,1,83,93,1,0,10,False
10,49,58,1,88,98,1,0,10,False
11,30,60,1,124,134,1,0,10,False
12,10,20,1,75,85,1,0,10,False
13,28,18,1,93,103,1,0,10,False
14,36,26,1,200,210,2,0,10,False
15,63,23,1,136,146,2,0,10,False
16,47,16,1,35,45,2,0,10,False
17,8,56,1,51,61,2,0,10,False
18,17,34,1,162,172,2,0,10,False
19,15,77,1,73,83,2,0,10,False
20,19,21,1,58,68,2,0,10,False
21,31,67,1,95,105,3,0,10,False
22,10,43,1,95,105,3,0,10,False
23,60,12,1,44,54,3,0,10,False
24,57,29,1,140,150,3,0,10,False
25,2,48,1,117,127,3,0,10,False
26,55,5,1,68,78,3,0,10,False
27,65,35,1,153,163,3,0,10,False
